"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YALI0_A00198g",241.782908857424,-0.655877185165193,0.225683145016279,-2.90618594985409,0.00365863955816086,0.0131369602798862
"YALI0_A00264g",205309.596310166,0.679852060801557,0.174001259396475,3.90716747200353,9.33844298630894e-05,0.000583932926161442
"YALI0_A00286g",44834.644420243,0.420788059342146,0.111633681241718,3.76936471736539,0.000163663587484445,0.000946481481165382
"YALI0_A00330g",5681.34770690948,0.566486400478641,0.17270015470302,3.28017309221746,0.0010374341626078,0.00451510549433163
"YALI0_A00352g",491948.922208039,0.390644132005749,0.165237585599343,2.36413604440431,0.0180721747814823,0.0486232688201024
"YALI0_A00396g",35908.0237818863,1.76825601684701,0.267058290098037,6.62123619603001,3.56207266290345e-11,1.20011721757125e-09
"YALI0_A00440g",10116.4943547102,0.726390287154106,0.18843878192988,3.85478127015491,0.000115833143534049,0.000706097814702002
"YALI0_A00462r",9.4944334004386,-3.19545163164705,1.24015849026449,-2.57664778875605,0.00997635476523259,0.0300266108756245
"YALI0_A00660g",2479.05713685817,0.519186000829522,0.211413893797231,2.45577994664569,0.0140579210657871,0.0397329889221662
"YALI0_A00759g",17236.5284087333,0.405478028687411,0.163339516068003,2.4824245745812,0.0130491690296841,0.0374603529754222
"YALI0_A00825g",2839.40252448178,-0.455366615325806,0.1317546971237,-3.45616987679975,0.000547909895917443,0.00262779448665221
"YALI0_A00979g",7303.39986002278,0.560225333172372,0.190962802479736,2.93368826754529,0.00334960441098191,0.0121954414361126
"YALI0_A01023g",1626.21230067805,-0.702629671790176,0.221185367205288,-3.17665531254627,0.00148983991777004,0.00611096058336688
"YALI0_A01067g",33532.9084873158,0.788173216483855,0.160302955503504,4.91677283184357,8.79825481401207e-07,1.00986070509305e-05
"YALI0_A01111g",4953.24277544462,0.776650834988364,0.174927968565592,4.43983224270479,9.00290280460597e-06,7.8063582321116e-05
"YALI0_A01155g",829.227491740528,-1.14181996325643,0.384213268522852,-2.97183896757723,0.00296021902261304,0.0109784245460764
"YALI0_A01397g",10146.5460285366,-0.413735648855026,0.146481851054421,-2.82448402909186,0.00473568083393937,0.0161724813955811
"YALI0_A01419g",26094.2595657077,0.898123151541156,0.231624396624905,3.87749807286313,0.000105536163303432,0.000650310189163641
"YALI0_A01452g",8935.364534965,0.510951892084257,0.178606449541036,2.86076954890065,0.00422614125386853,0.0147143591625695
"YALI0_A01562g",2609.33156117036,-1.093279544115,0.301808714912638,-3.62242536446128,0.000291853683585029,0.0015156695899063
"YALI0_A01602g",1176.25640257955,-0.94229512828207,0.225845127601809,-4.17230665229779,3.01531442638679e-05,0.000215365074642416
