"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YALI0_A15862r",2.59787942784216,4.88838257347942,2.03516663588327,2.40195691462771,0.016307629039709,0.0391892191582014
"YALI0_A00110g",459.327937676675,-0.925038240209061,0.237732805587331,-3.89108368078906,9.97975049516273e-05,0.000430429920869321
"YALI0_A00176g",7442.41151086672,0.774929547608788,0.331176240794323,2.33993098584043,0.0192873035969814,0.0453344454277539
"YALI0_A00264g",188652.802583737,0.654491141999147,0.148143932011812,4.41794093832315,9.96456395431383e-06,5.21960369263688e-05
"YALI0_A00369g",249.068358561701,-1.60485063966819,0.228097823892433,-7.03579986990585,1.98121133840284e-12,2.73507576970154e-11
"YALI0_A00396g",27379.1689721473,-0.375642216907849,0.152753169927866,-2.45914514955884,0.0139268298376548,0.0340220106623909
"YALI0_A00418g",4353.87634217659,0.926192460698333,0.235982357897238,3.92483772495255,8.67882225114152e-05,0.000379273913341654
"YALI0_A00440g",16497.60177917,-0.971321249005812,0.108326579265015,-8.96660132348064,3.05804600690955e-19,8.39421776005173e-18
"YALI0_A00572g",510.999031733808,-0.420757136993393,0.16263320157598,-2.58715399387142,0.00967723324120896,0.0246437129860632
"YALI0_A00594g",83960.9768923399,0.567888803519613,0.080313306919401,7.07091794999206,1.5391212904176e-12,2.18438015605961e-11
"YALI0_A00803g",87039.4936018344,0.442214804356059,0.131248061455402,3.36930541641807,0.000753578776060866,0.00266176802596661
"YALI0_A00847g",28802.2361759491,-0.701207139749851,0.209524323278759,-3.34666223365837,0.000817908035857762,0.00285904477292432
"YALI0_A00869g",365.072070727732,-0.734933351640161,0.265835757392995,-2.76461435755492,0.00569901270931812,0.0155711450645798
"YALI0_A00913g",29605.8059333343,-0.350355739612291,0.0886660270305129,-3.95140902717703,7.76924058249975e-05,0.000344532008799394
"YALI0_A01023g",4354.98525886138,-0.968563366855544,0.276295129579951,-3.5055390528528,0.000455683645032803,0.00169079863607966
"YALI0_A01067g",30624.1852456333,0.507928226033929,0.118485135651446,4.2868518759022,1.81223044511099e-05,9.10874095974169e-05
"YALI0_A01089g",223187.469048635,0.642524047116414,0.196371643318743,3.27197978413559,0.00106797212164675,0.00362810094585988
"YALI0_A01133g",62472.9954374279,0.693057011412839,0.210158661738251,3.29777990438495,0.000974524900286396,0.0033389382408458
"YALI0_A01155g",6718.3892327602,-2.81690027985213,0.267086103740559,-10.5467871237075,5.25638798698583e-26,2.41725582622297e-24
"YALI0_A01177r",23.5055366442986,-2.70183896180519,0.556987353355507,-4.85080845288186,1.2295925024645e-06,7.552449351651e-06
"YALI0_A01375g",9013.91385671421,-0.317973803354085,0.121177647714131,-2.62403016853583,0.00868960878822152,0.0223862529786049
"YALI0_A01441g",442.293525577268,-1.63395890615619,0.341116720343714,-4.79002877522331,1.66757397609792e-06,9.99979584989457e-06
"YALI0_A01650g",2141.03286738921,-0.401286187804602,0.118427614658171,-3.38845115611652,0.000702885463406211,0.00250016818274374
"YALI0_A01716g",312.43013507128,-1.37691682096119,0.192675187079709,-7.14631106283326,8.91409376716769e-13,1.30164148575426e-11
"YALI0_A01738g",12492.0702318062,0.263962037120153,0.0905487334816946,2.91513781552246,0.00355531505598057,0.0104044385233283
"YALI0_A02046g",740.85872914367,-1.08843383678357,0.170517098592148,-6.38313603603442,1.73497649994963e-10,1.90202841681784e-09
"YALI0_A02068g",10151.0953451255,0.386169739621927,0.121810597813137,3.17024747070307,0.00152309159157546,0.00495932627656894
"YALI0_A02090g",16659.8897275761,0.557662897244947,0.10856177017448,5.13682575688177,2.79417801964371e-07,1.93057255952358e-06
"YALI0_A02266g",4923.09858813939,-0.470188454369047,0.103589426720978,-4.53896183473937,5.65318658333151e-06,3.07731494105717e-05
"YALI0_A02310g",77062.560984441,-0.915130243471823,0.0968975658861731,-9.44430579966105,3.57767913799049e-21,1.1676093850345e-19
"YALI0_A02332g",6815.97926905779,0.23254664871181,0.101211518144352,2.29763027939313,0.0215828407799697,0.0499019518131718
"YALI0_A02453g",13323.2522838985,0.910162202592518,0.140228242513159,6.49057697850782,8.55082612792348e-11,9.76725010289582e-10
"YALI0_A02541g",26584.2056429174,1.20805599769753,0.228024462965651,5.29792278418614,1.17127474304638e-07,8.63160013554055e-07
"YALI0_A02607g",69515.4508198714,-2.18999444613937,0.241749766706576,-9.0589309597865,1.31735285438765e-19,3.74678430312181e-18
"YALI0_A02629g",384.202389311474,-2.54147647583419,0.261707428661188,-9.71113616772584,2.70307016562792e-22,9.66825399645299e-21
"YALI0_A02673g",19075.6703090009,-2.26933694357876,0.17572966733735,-12.9137952513293,3.76287414093351e-38,3.8069535237273e-36
"YALI0_A02717g",22671.4514163283,-0.721311317336744,0.122330112749511,-5.89643302964769,3.71443411701483e-09,3.4163145995713e-08
"YALI0_A02783g",799.910670703927,0.815477635485269,0.199503240283627,4.08754080548233,4.3597001071625e-05,0.000202860684355616
"YALI0_A02937g",10143.0683771644,0.730054968287182,0.177480862966983,4.11342922320023,3.89824597057632e-05,0.000183804114271781
"YALI0_A02959g",12925.6360550682,0.617079108266586,0.128292237431626,4.80994891522929,1.50968874262549e-06,9.08853962784326e-06
"YALI0_A03091g",289.273341737137,-2.07890068212611,0.547371570869279,-3.79796977549385,0.000145886107150455,0.000608102066415256
"YALI0_A03113g",13253.128103702,-0.624547011921532,0.0839871062683286,-7.43622491202614,1.03603384272302e-13,1.6751579164759e-12
"YALI0_A03201g",191.144984479589,0.547696253818852,0.192250086334282,2.84887390306044,0.00438742657486564,0.0124536092197188
"YALI0_A03421g",6977.44444416096,3.52033436752523,0.96764625186477,3.63803855049418,0.000274722311549604,0.00107312929420535
"YALI0_A03443g",21963.442488287,0.36154286560368,0.111555187655254,3.24093279033315,0.00119139269702018,0.00399311078102078
"YALI0_A03509g",44094.6650111964,-0.296990667212799,0.117839845502813,-2.52029070426531,0.0117257948412098,0.0291580333797217
"YALI0_A03575g",3825.41565969121,0.405526606362674,0.0816904605045084,4.96418558370465,6.89899511963543e-07,4.42560538380961e-06
"YALI0_A03597g",98445.403463591,-0.734742038318938,0.198598978938728,-3.69962646457321,0.000215917027303224,0.000867100743204589
"YALI0_A03641g",3752.54542113863,-0.499030855969573,0.098761705799378,-5.05287805562301,4.35201777480462e-07,2.9003826344822e-06
"YALI0_A03751g",6908.88702313191,0.421600103147777,0.128733983991638,3.27497130186822,0.00105672707936662,0.00359449624211066
"YALI0_A03839g",83611.2876268447,0.381444011546575,0.0999694224682222,3.81560683385789,0.000135848663528707,0.000569952745918427
"YALI0_A03861g",6113.00756893289,0.472029263055009,0.128210391005891,3.68167711955047,0.000231704734987867,0.000925512088654299
