"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YALI0_A10725g",159513.847660128,0.505663112822056,0.144140427568458,3.50812829788435,0.000451271362182925,0.00373440768643409
"YALI0_A10890r",3.89806062417819,-4.86103144971962,1.80278763416229,-2.69639715605129,0.00700940385917918,0.0319427201405202
"YALI0_A10989g",2979.057054003,-0.609217532790134,0.142726340003427,-4.26843099021179,1.9685270739087e-05,0.000294021631898125
"YALI0_A11011g",414.04389770609,-0.900909445640007,0.264568160315443,-3.40520735588839,0.000661138319627479,0.00507146939524201
"YALI0_A11198g",3060.95847082516,-0.486040275752672,0.152222287065944,-3.19296395502266,0.00140820523333322,0.0092196099231961
"YALI0_A11407g",15775.3444337708,0.459621408340891,0.17731084412733,2.59217878411785,0.00953701954820551,0.0400933227255931
"YALI0_A11473g",32.6170579624164,-1.7866701506002,0.598068203901517,-2.98740200355879,0.00281359481167611,0.0157027145977574
"YALI0_A11539g",1282.80609575762,0.323121943419179,0.128584177331649,2.51292149722101,0.0119735975669615,0.0474257973724099
"YALI0_A11561g",114.675473858374,-1.22045048999144,0.294003317291559,-4.15114530419103,3.30815646549981e-05,0.000450453995834422
"YALI0_A11605g",1733.05609397569,-0.40339507021028,0.128047027297837,-3.15036653894342,0.00163065739873804,0.0103052076615495
"YALI0_A11737g",135.621302180455,-2.72349891317212,0.39203888297532,-6.94701222619179,3.73103379445564e-12,3.28573248833814e-10
"YALI0_A11759g",9.94238790943107,-2.52047144059606,1.00162414747804,-2.51638446111975,0.0118565767754759,0.0471827741282288
"YALI0_A11781g",209.260794352264,-1.10109259942816,0.306690213763252,-3.59024367265318,0.00033036897348535,0.00294767369632126
"YALI0_A11803g",199.705370152163,-1.62719630196871,0.303162569674266,-5.36740503195054,7.98775426422126e-08,2.70824808328422e-06
"YALI0_A12001g",41957.3472410313,-0.675436498753076,0.166865276201004,-4.04779540795207,5.17023079143061e-05,0.000662747353434612
"YALI0_A12023g",15155.96580839,-0.571565315120633,0.112662946610117,-5.07323243638035,3.91114274556868e-07,1.06511883364262e-05
"YALI0_A12177g",102109.714886787,0.937674033672779,0.371042029222303,2.52713698132291,0.011499664030286,0.0461415513546565
"YALI0_A12287g",9084.56912875058,-0.304246058885936,0.0923988341214464,-3.2927478120129,0.000992134219394324,0.00701528899031586
"YALI0_A12419g",705.977273412819,-1.21585228018924,0.378663378253467,-3.2109053846115,0.00132317492661216,0.00876215739976274
"YALI0_A12507g",2668.89057332829,-0.245281413049923,0.0952208386526505,-2.57592157893787,0.00999733176029313,0.0414122826307561
"YALI0_A12969g",1256.83218915003,0.517766622864074,0.199999371863535,2.58884124504831,0.0096299479421439,0.0403339573784298
"YALI0_A13233g",762.92861383582,-0.473107250547326,0.172185471727048,-2.74766068125252,0.00600220905776722,0.0284274651863373
"YALI0_A13321g",19831.7317396556,0.599553891580043,0.0965012777633065,6.21291142953153,5.20117696532628e-10,2.87561633017929e-08
"YALI0_A13387g",135445.348740315,0.573585505839655,0.178947875652736,3.20532168234703,0.00134911611057087,0.00890784454311693
"YALI0_A13497g",1205.12803023761,-1.71494328781656,0.173482479025544,-9.88539763467437,4.81665722588492e-23,1.42007620211851e-20
"YALI0_A13607g",11.2555414732077,-3.06114298402225,1.09799095293812,-2.7879491864946,0.00530428629103235,0.0257468613740088
"YALI0_A14707g",6073.43387653268,-0.306112857142378,0.112420371789198,-2.72293048199819,0.00647056720213023,0.0300790252941833
"YALI0_A14927g",933.314771110882,-2.13396222523118,0.794811886207324,-2.68486450978231,0.00725592140816647,0.032692626623772
"YALI0_A15103g",3469.72141529829,-1.28530861383393,0.244115797050631,-5.26515952413905,1.40067679011971e-07,4.48018363858573e-06
"YALI0_A15125g",24599.9717325791,-0.801641321124565,0.159498105961423,-5.0260240790474,5.00753041352946e-07,1.30099861050357e-05
"YALI0_A15147g",2236.60846852533,-0.374151358492223,0.098579908174084,-3.79541191934874,0.000147398520095437,0.00151400714572757
"YALI0_A15796g",70.12019746796,-1.61581050565818,0.36046466564358,-4.48257668410658,7.3747128891717e-06,0.000126282646720892
"YALI0_A15906g",693.974584788128,-0.582119384374734,0.146004681955703,-3.98699121546899,6.6916502199466e-05,0.000817582141992901
"YALI0_A15972g",41121.8848132826,0.431672808622263,0.0933400021955126,4.62473535963786,3.75076972515218e-06,7.18473714866016e-05
"YALI0_A16214g",29778.2989728255,-0.357959085391132,0.100582790153818,-3.55885022520966,0.000372481857749481,0.00324652889125865
"YALI0_A16423g",497.014200865345,-1.51022285851971,0.19531451923663,-7.73226109570493,1.05652969801e-14,1.23522894520789e-12
"YALI0_A16445g",308.712312824389,-1.20619356243957,0.317829022708784,-3.79510200849331,0.000147582764094665,0.00151400714572757
"YALI0_A16511g",342.82854382004,-1.00159524954003,0.178011855414909,-5.62656485550086,1.83833688447409e-08,7.42009667477311e-07
"YALI0_A16775g",17057.2022166133,0.239685479595818,0.0840931172938749,2.85023896495839,0.00436863932731437,0.0220941209095642
"YALI0_A16841g",8801.08419470195,-1.32153071794945,0.165294836437193,-7.99499092914253,1.29583407122963e-15,1.75741016740163e-13
"YALI0_A17020g",18089.081494848,-2.12585870053142,0.31132680814978,-6.82838305241179,8.58770340148281e-12,6.85096667828882e-10
"YALI0_A17259g",319.11674442367,-1.60317976885313,0.295139858243134,-5.4319324350032,5.57470313340222e-08,1.98958220776845e-06
"YALI0_A17281g",1724.67729635619,-1.06263919395692,0.173569418334289,-6.12227202323344,9.22503542159735e-10,4.81192039952705e-08
"YALI0_A17336g",5708.20775853322,0.435835141353268,0.148409273577634,2.93671096722457,0.00331713109211769,0.0178236655591522
"YALI0_A17358g",1451.28038698343,0.306771237412028,0.114639262793646,2.67597008159609,0.00745132964788331,0.0332417541725636
"YALI0_A17446g",241.864608287575,-0.678673575945141,0.206986257545907,-3.27883398633177,0.00104236937181693,0.00725278408547346
"YALI0_A17556g",45.4598206384168,-1.47249588684257,0.582504017099523,-2.52787250150584,0.0114756017220973,0.0460722648179645
"YALI0_A17875g",353.062752488314,-1.06311859713136,0.228654824231525,-4.64944748357855,3.32825412217015e-06,6.57985166251773e-05
"YALI0_A17919g",94156.5269347406,-0.559476261283304,0.148888545678014,-3.75768504377246,0.000171492542301962,0.00170013293764562
"YALI0_A17946g",10574.6402183584,0.454424060394268,0.159524378972483,2.84861826964175,0.00439095296948417,0.0221870730894726
"YALI0_A18205g",216617.462207073,0.398365419774371,0.152007914400368,2.62068867496683,0.0087752357386761,0.0374715828362485
"YALI0_A18271g",19316.9253769273,-0.770690818246529,0.187340151154967,-4.11385820655721,3.8910049310852e-05,0.000518367474217853
"YALI0_A18293g",4877.97326792072,0.370341176156001,0.135570462477683,2.73172466470686,0.006300376893427,0.0294437324013291
"YALI0_A18425g",9853.87575947321,2.25956772700833,0.379054322467532,5.96106571823059,2.50598150266483e-09,1.20518160067874e-07
"YALI0_A18469g",5408.96544425402,-0.953434751089098,0.224175720367752,-4.25306875126808,2.1086080331109e-05,0.000312193691539847
"YALI0_A18524g",280.567121667261,-0.941798140237231,0.229389980004217,-4.10566381417322,4.03155458757897e-05,0.000533944758952598
"YALI0_A18546g",36.4555686157632,-1.55738521935962,0.502728794656259,-3.09786357159925,0.00194921139157041,0.011854351969721
"YALI0_A18722g",2437.87586601707,0.284314865913922,0.0995795815065371,2.85515224720298,0.00430162025800094,0.0218734759016736
"YALI0_A18766g",10160.8388762312,0.480880274736231,0.124079027515964,3.8755967415554,0.000106363710174301,0.00117659432086776
"YALI0_A18810g",109720.392748124,-0.391761052034322,0.114173228857843,-3.43128644038002,0.000600725919780934,0.00469841114421513
"YALI0_A19052g",11461.597165681,0.291425421983017,0.0896310388911641,3.25138953635118,0.00114842392793086,0.00784865276644273
"YALI0_A19096g",2926.2367540661,-0.622875229925777,0.206395899342755,-3.0178663040751,0.00254561183636927,0.0145616310163638
"YALI0_A19118g",34.486953020399,-2.02983802144147,0.531541218565079,-3.81877820674211,0.000134114275160718,0.00141751146049367
