"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YALI0_A00264g",133273.824311858,1.11199230569828,0.144136800682089,7.71483965535568,1.21134425791568e-14,6.24851746374839e-13
"YALI0_A00369g",58.1867265205967,-1.09752968729337,0.379539884661662,-2.8917374211455,0.00383117997162139,0.0139350985185737
"YALI0_A00396g",28160.9723108496,1.30451153561002,0.26640775353707,4.89667255659848,9.74730571623658e-07,1.15224660801831e-05
"YALI0_A00418g",1902.63203096064,1.45712629469559,0.333182014625839,4.373364199541,1.22346362603383e-05,0.000101468499752306
"YALI0_A00440g",11333.1329750243,-0.581567399296532,0.196498901893497,-2.95964707025052,0.00307991655024255,0.0117157272573193
"YALI0_A00660g",1647.5636061863,0.821240281964381,0.151079110777021,5.43582946537498,5.45421019216443e-08,9.07296462875692e-07
"YALI0_A00759g",11423.3741879347,0.702373206302402,0.148812475365893,4.71985433059589,2.36013595802729e-06,2.48764175514053e-05
"YALI0_A00803g",51805.8702055326,0.57553604184926,0.149891537017428,3.83968336906399,0.000123193088645696,0.000736373574544833
"YALI0_A00913g",14305.320073567,-0.748496623786169,0.258600006941328,-2.8944184210946,0.00379861601521586,0.0138536563725789
"YALI0_A00979g",4628.58426876403,1.07391248553935,0.186381977505137,5.76189017798005,8.31771160506128e-09,1.66084834080252e-07
"YALI0_A01023g",1992.51707962057,-1.79519512506956,0.41636561931107,-4.31158347809777,1.62089556754651e-05,0.00013030316315731
"YALI0_A01067g",22937.4772898841,1.00750718744466,0.210073163651118,4.7959823612591,1.61879525371877e-06,1.78934689652128e-05
"YALI0_A01089g",44158.0047575796,2.51543039009919,0.827424396453703,3.0400727859611,0.0023652098079278,0.00936865246200137
"YALI0_A01111g",3863.27020400782,0.483527472460879,0.177957810136506,2.71709048391852,0.00658586000140582,0.0221326297503985
"YALI0_A01155g",2356.2548577808,-3.54353568816378,0.374002111836561,-9.4746408536653,2.67679931414284e-21,2.76156462575736e-19
"YALI0_A01177r",8.72385555323028,-4.01905776652164,1.30263974686795,-3.08531792936996,0.00203334673528415,0.00823620340306354
"YALI0_A01441g",101.387197019783,-1.42294018129337,0.358130417119343,-3.97324581569733,7.08998127314611e-05,0.00045672358078384
"YALI0_A01452g",6005.41299003908,0.769875398396567,0.237154455957177,3.24630374449124,0.00116914026707359,0.0051242581189869
"YALI0_A01485g",2027.01855553652,0.790779592089462,0.220451424720048,3.58709222720458,0.000334386077443552,0.00174872104555541
"YALI0_A01562g",1843.09816167308,-1.05503723715126,0.309450227213714,-3.40939234929895,0.000651077680889716,0.00310447333976056
"YALI0_A01602g",774.394021369361,-0.74208906056888,0.233149866841206,-3.18288434226001,0.00145815847351478,0.00615918179042316
"YALI0_A01650g",798.054956456499,-0.961937049785112,0.263830926990707,-3.6460359699187,0.000266316714281179,0.00143234637246489
"YALI0_A01716g",107.443055021272,-1.76486232215701,0.381148159498761,-4.63038395483253,3.64988293180329e-06,3.62274823362225e-05
